type,color,extensions,tm_scope,ace_mode,language_id,language,aliases,codemirror_mode,codemirror_mime_type,interpreters,group,filenames,wrap,fs_name,searchable
data,#483465,['.cabal'],source.cabal,haskell,677095381,Cabal Config,['Cabal'],haskell,text/x-haskell,,,"['cabal.config', 'cabal.project']",,,
data,#22b638,['.caddyfile'],source.Caddyfile,text,615465151,Caddyfile,['Caddy'],,,,,['Caddyfile'],,,
programming,#00ef8b,['.cdc'],source.cadence,text,270184138,Cadence,,,,,,,,,
programming,#ff4a48,['.cairo'],source.cairo,text,620599567,Cairo,,,,,Cairo,,,,
programming,#ff4a48,['.cairo'],source.cairo0,text,891399890,Cairo Zero,,,,,Cairo,,,,
programming,#3be133,['.mligo'],source.mligo,ocaml,829207807,CameLIGO,,mllike,text/x-ocaml,,LigoLANG,,,,
programming,#c42727,['.capnp'],source.capnp,text,52,Cap'n Proto,,,,,,,,,
programming,#222222,['.carbon'],source.v,golang,55627273,Carbon,,go,text/x-go,,,,,,
programming,,['.mss'],source.css.mss,text,53,CartoCSS,['Carto'],,,,,,,,
programming,#dfa535,['.ceylon'],source.ceylon,text,54,Ceylon,,,,,,,,,
programming,#8dc63f,['.chpl'],source.chapel,text,55,Chapel,['chpl'],,,,,,,,
programming,,['.ch'],none,text,56,Charity,,,,,,,,,
data,,"['.crc32', '.md2', '.md4', '.md5', '.sha1', '.sha2', '.sha224', '.sha256', '.sha256sum', '.sha3', '.sha384', '.sha512']",text.checksums,text,372063053,Checksums,"['checksum', 'hash', 'hashes', 'sum', 'sums']",,,,,"['MD5SUMS', 'SHA1SUMS', 'SHA256SUMS', 'SHA256SUMS.txt', 'SHA512SUMS', 'checksums.txt', 'cksums', 'md5sum.txt']",,,
programming,#3f8000,['.ck'],source.java,java,57,ChucK,,clike,text/x-java,,,,,,
programming,#707575,['.circom'],source.circom,text,1042332086,Circom,,,,,,,,,
programming,#ccccff,['.cirru'],source.cirru,cirru,58,Cirru,,,,,,,,,
programming,#db901e,['.clw'],source.clarion,text,59,Clarion,,,,,,,,,
programming,#5546ff,['.clar'],source.clar,lisp,91493841,Clarity,,,,,,,,,
programming,#6a40fd,['.asp'],text.html.asp,text,8,Classic ASP,['asp'],,,,,,,,
programming,#3F85AF,"['.icl', '.dcl']",source.clean,text,60,Clean,,,,,,,,,
programming,#E4E6F3,['.click'],source.click,text,61,Click,,,,,,,,,
programming,#db5855,"['.clj', '.bb', '.boot', '.cl2', '.cljc', '.cljs', '.cljs.hl', '.cljscm', '.cljx', '.hic']",source.clojure,clojure,62,Clojure,,clojure,text/x-clojure,['bb'],,['riemann.config'],,,
markup,#0d948f,['.soy'],text.html.soy,soy_template,357046146,Closure Templates,['soy'],soy,text/x-soy,,,,,,
data,#FFA000,,source.firestore,less,407996372,Cloud Firestore Security Rules,,css,text/css,,,['firestore.rules'],,,
data,,"['.conllu', '.conll']",text.conllu,text,421026389,CoNLL-U,"['CoNLL', 'CoNLL-X']",,,,,,,,
programming,#140f46,"['.ql', '.qll']",source.ql,text,424259634,CodeQL,['ql'],,,,,,,,
programming,#244776,"['.coffee', '._coffee', '.cake', '.cjsx', '.iced']",source.coffee,coffee,63,CoffeeScript,"['coffee', 'coffee-script']",coffeescript,text/x-coffeescript,['coffee'],,['Cakefile'],,,
programming,#ed2cd6,"['.cfm', '.cfml']",text.html.cfm,coldfusion,64,ColdFusion,"['cfm', 'cfml', 'coldfusion html']",,,,,,,,
programming,#ed2cd6,['.cfc'],source.cfscript,coldfusion,65,ColdFusion CFC,['cfc'],,,,ColdFusion,,,,
programming,#3fb68b,"['.lisp', '.asd', '.cl', '.l', '.lsp', '.ny', '.podsl', '.sexp']",source.commonlisp,lisp,66,Common Lisp,['lisp'],commonlisp,text/x-common-lisp,"['lisp', 'sbcl', 'ccl', 'clisp', 'ecl']",,,,,
programming,#B5314C,['.cwl'],source.cwl,yaml,988547172,Common Workflow Language,['cwl'],yaml,text/x-yaml,['cwl-runner'],,,,,
programming,#B0CE4E,"['.cp', '.cps']",source.pascal,pascal,67,Component Pascal,,pascal,text/x-pascal,,,,,,
programming,,['.cl'],source.cool,text,68,Cool,,,,,,,,,
programming,#d0b68c,"['.coq', '.v']",source.coq,text,69,Coq,,,,,,,,,
data,,"['.cppobjdump', '.c++-objdump', '.c++objdump', '.cpp-objdump', '.cxx-objdump']",objdump.x86asm,assembly_x86,70,Cpp-ObjDump,['c++-objdump'],,,,,,,,
prose,,['.creole'],text.html.creole,text,71,Creole,,,,,,,True,,
programming,#000100,['.cr'],source.crystal,ruby,72,Crystal,,crystal,text/x-crystal,['crystal'],,,,,
programming,#1a1a1a,"['.orc', '.udo']",source.csound,csound_orchestra,73,Csound,['csound-orc'],,,,,,,,
programming,#1a1a1a,['.csd'],source.csound-document,csound_document,74,Csound Document,['csound-csd'],,,,,,,,
programming,#1a1a1a,['.sco'],source.csound-score,csound_score,75,Csound Score,['csound-sco'],,,,,,,,
programming,#3A4E3A,"['.cu', '.cuh']",source.cuda-c++,c_cpp,77,Cuda,,clike,text/x-c++src,,,,,,
data,,['.cue'],source.cuesheet,text,942714150,Cue Sheet,,,,,,,,,
programming,#531242,['.curry'],source.curry,haskell,439829048,Curry,,,,,,,,,
programming,,['.cy'],source.js,javascript,78,Cycript,,javascript,text/javascript,,,,,,
data,#00b3fd,['.cylc'],source.cylc,ini,476447814,Cylc,,,,,INI,['suite.rc'],,,
programming,#34c0eb,"['.cyp', '.cypher']",source.cypher,text,850806976,Cypher,,,,,,,,,
programming,#fedf5b,"['.pyx', '.pxd', '.pxi']",source.cython,text,79,Cython,['pyrex'],python,text/x-cython,,,,,,
programming,#ba595e,"['.d', '.di']",source.d,d,80,D,['Dlang'],d,text/x-d,,,,,,
data,,['.d-objdump'],objdump.x86asm,assembly_x86,81,D-ObjDump,,,,,,,,,
markup,#526ee8,['.d2'],source.d2,text,37531557,D2,['d2lang'],,,,,,,,
programming,,['.com'],none,text,82,DIGITAL Command Language,['dcl'],,,,,,,,
programming,#447265,['.dm'],source.dm,c_cpp,83,DM,['byond'],,,,,,,,
data,,"['.zone', '.arpa']",text.zone_file,text,84,DNS Zone,,,,,,,,,
programming,,['.d'],source.c,c_cpp,85,DTrace,['dtrace-script'],clike,text/x-csrc,['dtrace'],,,,,
programming,#FFEC25,['.dfy'],text.dfy.dafny,text,969323346,Dafny,,,,['dafny'],,,,,
data,#8eff23,"['.darcspatch', '.dpatch']",none,text,86,Darcs Patch,['dpatch'],,,,,,,,
programming,#00B4AB,['.dart'],source.dart,dart,87,Dart,,dart,application/dart,['dart'],,,,,
programming,#003a52,['.dwl'],source.data-weave,text,974514097,DataWeave,,,,,,,,,
data,#D70751,['.dsc'],source.deb-control,text,527438264,Debian Package Control File,,,,,,,,,
programming,#FBEE96,['.dsc'],source.denizenscript,yaml,435000929,DenizenScript,,yaml,text/x-yaml,,,,,,
programming,#dfafff,['.dhall'],source.haskell,haskell,793969321,Dhall,,haskell,text/x-haskell,,,,,,
data,,"['.diff', '.patch']",source.diff,diff,88,Diff,['udiff'],diff,text/x-diff,,,,,,
data,#aace60,['.x'],none,text,201049282,DirectX 3D File,,,,,,,,,
programming,#384d54,"['.dockerfile', '.containerfile']",source.dockerfile,dockerfile,89,Dockerfile,['Containerfile'],dockerfile,text/x-dockerfile,,,"['Containerfile', 'Dockerfile']",,,
programming,#cca760,['.djs'],none,text,90,Dogescript,,,,,,,,,
data,#e5d559,['.env'],source.dotenv,text,111148035,Dotenv,,,,,,"['.env', '.env.ci', '.env.dev', '.env.development', '.env.development.local', '.env.example', '.env.local', '.env.prod', '.env.production', '.env.sample', '.env.staging', '.env.test', '.env.testing']",,,
programming,#89421e,,source.dune,lisp,754574151,Dune,,,,,,['dune-project'],,,
